ticker,week_monday,week_friday,asof_target,drop_reason,detail
NVDA,2025-02-03,2025-02-05,2025-02-04,empty_option_chain,asof=2025-02-04 exp_req=2025-02-05 exp_used=2025-02-05 conv=FRI
IWM,2025-02-03,2025-02-06,2025-02-05,too_few_in_prn_band,kept=6 need=7 inside=27 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
TSLA,2025-02-03,2025-02-05,2025-02-04,empty_option_chain,asof=2025-02-04 exp_req=2025-02-05 exp_used=2025-02-05 conv=FRI
NFLX,2025-02-03,2025-02-05,2025-02-04,empty_option_chain,asof=2025-02-04 exp_req=2025-02-05 exp_used=2025-02-05 conv=FRI
AAPL,2025-02-03,2025-02-07,2025-02-06,too_few_in_prn_band,kept=5 need=7 inside=12 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
IWM,2025-02-10,2025-02-11,2025-02-10,too_few_in_prn_band,kept=6 need=7 inside=28 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AAPL,2025-02-10,2025-02-11,2025-02-10,empty_option_chain,asof=2025-02-10 exp_req=2025-02-11 exp_used=2025-02-11 conv=FRI
GOOGL,2025-02-10,2025-02-11,2025-02-10,empty_option_chain,asof=2025-02-10 exp_req=2025-02-11 exp_used=2025-02-11 conv=FRI
MSFT,2025-02-10,2025-02-11,2025-02-10,empty_option_chain,asof=2025-02-10 exp_req=2025-02-11 exp_used=2025-02-11 conv=FRI
META,2025-02-10,2025-02-11,2025-02-10,empty_option_chain,asof=2025-02-10 exp_req=2025-02-11 exp_used=2025-02-11 conv=FRI
AMZN,2025-02-10,2025-02-11,2025-02-10,empty_option_chain,asof=2025-02-10 exp_req=2025-02-11 exp_used=2025-02-11 conv=FRI
PLTR,2025-02-10,2025-02-11,2025-02-10,empty_option_chain,asof=2025-02-10 exp_req=2025-02-11 exp_used=2025-02-11 conv=FRI
NVDA,2025-02-10,2025-02-11,2025-02-10,empty_option_chain,asof=2025-02-10 exp_req=2025-02-11 exp_used=2025-02-11 conv=FRI
TSLA,2025-02-10,2025-02-11,2025-02-10,empty_option_chain,asof=2025-02-10 exp_req=2025-02-11 exp_used=2025-02-11 conv=FRI
NFLX,2025-02-10,2025-02-11,2025-02-10,empty_option_chain,asof=2025-02-10 exp_req=2025-02-11 exp_used=2025-02-11 conv=FRI
AAPL,2025-02-10,2025-02-12,2025-02-11,empty_option_chain,asof=2025-02-11 exp_req=2025-02-12 exp_used=2025-02-12 conv=FRI
GOOGL,2025-02-10,2025-02-12,2025-02-11,empty_option_chain,asof=2025-02-11 exp_req=2025-02-12 exp_used=2025-02-12 conv=FRI
MSFT,2025-02-10,2025-02-12,2025-02-11,empty_option_chain,asof=2025-02-11 exp_req=2025-02-12 exp_used=2025-02-12 conv=FRI
META,2025-02-10,2025-02-12,2025-02-11,empty_option_chain,asof=2025-02-11 exp_req=2025-02-12 exp_used=2025-02-12 conv=FRI
