C,window,window_start,window_end,n_val,w_sum_val,logloss_baseline,logloss_model,delta_model_minus_baseline
2.0,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6232458334725239,0.03619102940829977
2.0,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.483336509760457,-0.042001196358047166
2.0,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.4532225354639432,-0.008458723501111043
5.0,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5292758114486757,-0.006579520171098419
5.0,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6232475187782699,0.036192714714045726
5.0,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.4833309346936501,-0.04200677142485404
5.0,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.45321381997919824,-0.008467438985856002
10.0,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5292781892704935,-0.00657714234928064
10.0,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6232480700077955,0.03619326594357131
10.0,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.48332909631875876,-0.04200860979974541
10.0,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.4532106903197854,-0.00847056864526885
