C,window,window_start,window_end,n_val,w_sum_val,logloss_baseline,logloss_model,delta_model_minus_baseline
0.1,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.4773515729276234,0.015670313962569182
0.2,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5281667392855793,-0.007688592334194833
0.2,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6278046467832766,0.040749842719052465
0.2,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.5096279201152905,-0.01570978600321371
0.2,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.47732873579048446,0.015647476825430218
0.5,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5282462696833102,-0.0076090619364639345
0.5,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.627918165517386,0.04086336145316183
0.5,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.5095932147665132,-0.015744491351990964
0.5,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.47727567160875634,0.015594412643702094
1.0,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5282690885101304,-0.007586243109643731
1.0,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6279570963833678,0.04090229231914366
1.0,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.5095811595275259,-0.01575654659097825
1.0,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.4772543141202339,0.01557305515517965
2.0,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5282804746951056,-0.007574856924668527
2.0,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.6279767707378917,0.04092196667366754
2.0,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.5095750340812079,-0.01576267203729631
2.0,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.47724328861970694,0.015562029654652698
5.0,roll_val_1,2024-11-29,2025-01-31,2506,0.37871748101451613,0.5358553316197742,0.5282872977320914,-0.00756803388768279
5.0,roll_val_2,2025-02-07,2025-04-11,3259,0.4045002636072368,0.5870548040642242,0.627988642812995,0.04093383874877088
5.0,roll_val_3,2025-04-25,2025-06-27,3127,0.4215214100763476,0.5253377061185042,0.5095713266614211,-0.015766379457083035
5.0,roll_val_4,2025-07-11,2025-09-12,2838,0.4278497553298598,0.46168125896505424,0.4772365653180661,0.015555306353011833
