snapshot_time_utc,snapshot_time_local,snapshot_session,week_monday,week_friday,week_sunday,ticker,slug,event_id,event_title,event_updatedAt,event_endDate,expiry_ts_utc,market_id,condition_id,market_question,K,yes_token_id,no_token_id,pm_ok_meta,pm_reason_meta,schema_version,pPM_buy,qPM_buy,pPM_mid,qPM_mid,yes_spread,no_spread,pm_ok,pm_reason,T_days
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,AAPL,aapl-close-above-on-february-6-2026,199216,Apple (AAPL) closes above ___ on February 6?,2026-02-05T23:47:35.089908Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339385,0x962de5695d430018c6f401c0c35bf0401e1806f1592395d6c4d27a2f6320c1e9,Will Apple (AAPL) close above $265 on February 6?,265.0,26720914724865313393293219463246327274368119323104218267299759884349657938901,87418927617818778962889458131816834731045769593830301915505015839862176530893,True,ok,pPM_polymarket_snapshot_v1.0.1,0.99,0.16,0.915,0.085,0.15000000000000002,0.15,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,AAPL,aapl-close-above-on-february-6-2026,199216,Apple (AAPL) closes above ___ on February 6?,2026-02-05T23:47:35.089908Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339386,0x3f12faa6b23efec5a6a0760449b2f5c770d4c910fa677e2335b7fd3447307ab0,Will Apple (AAPL) close above $270 on February 6?,270.0,58159668417114237434664825019216056859452289433286037069316018231985527732315,98596297297526341346852422648264818169666323825183681398210796432570790856054,True,ok,pPM_polymarket_snapshot_v1.0.1,0.99,0.52,0.735,0.265,0.51,0.51,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,AAPL,aapl-close-above-on-february-6-2026,199216,Apple (AAPL) closes above ___ on February 6?,2026-02-05T23:47:35.089908Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339387,0x090b92f9132e32742325292004b7ac2e98a6822c8e9733817d516a2110415b43,Will Apple (AAPL) close above $275 on February 6?,275.0,16201257744115954031366026729904516249765170575826630395761401178128880231269,26778053148628389692180506873403501243780063297457177649136609314055391823931,True,ok,pPM_polymarket_snapshot_v1.0.1,0.9,0.78,0.56,0.44,0.68,0.68,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,AAPL,aapl-close-above-on-february-6-2026,199216,Apple (AAPL) closes above ___ on February 6?,2026-02-05T23:47:35.089908Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339389,0xb407388f09f5233c9e652a6d8536ac31ff5cf9d9bfc1b95eb7a6c460878ead22,Will Apple (AAPL) close above $280 on February 6?,280.0,32045845687592346317276455140677357808872859735605224391407168833542806538231,27652814240892751695829186359553611519125591061617324631614376325674248536515,True,ok,pPM_polymarket_snapshot_v1.0.1,0.6,0.93,0.33499999999999996,0.665,0.53,0.53,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,AAPL,aapl-close-above-on-february-6-2026,199216,Apple (AAPL) closes above ___ on February 6?,2026-02-05T23:47:35.089908Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339392,0x23a61a66788e12f7344081d25ad40c0e2cf9cde6dcc50df3bb9083ef9d9d9c38,Will Apple (AAPL) close above $285 on February 6?,285.0,61671591014514245640842056131088032604447999940935541686850406897740595941856,100859765676032622653546751693415728417470697481187754266690714671984257040009,True,ok,pPM_polymarket_snapshot_v1.0.1,0.236,0.99,0.123,0.877,0.22599999999999998,0.22599999999999998,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,AMZN,amzn-close-above-on-february-6-2026,199240,Amazon (AMZN) closes above ___ on February 6?,2026-02-05T23:47:39.808261Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339425,0xc78ac796341147d4bf3cffd8fb8870cf4affbea48bc918ff5a1293e7ccb82f81,Will Amazon (AMZN) close above $225 on February 6?,225.0,76415733491367458545132276857539115468259808241265841359062614986769846877687,95150202154533751170075860744333037288841914778856496727833168386328775467724,True,ok,pPM_polymarket_snapshot_v1.0.1,0.88,0.99,0.445,0.5549999999999999,0.87,0.87,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,AMZN,amzn-close-above-on-february-6-2026,199240,Amazon (AMZN) closes above ___ on February 6?,2026-02-05T23:47:39.808261Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339426,0x1c385a9fe4b2dd186208fc9c6c8f876770fce62841728b62228dd35a8e67b1ed,Will Amazon (AMZN) close above $230 on February 6?,230.0,84556640839381659090687284627901385456196356171919882954367421023952798696395,603976663347984151858787923103935191419460985008385863300812357294026210809,True,ok,pPM_polymarket_snapshot_v1.0.1,0.36,0.99,0.185,0.815,0.35,0.35,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,AMZN,amzn-close-above-on-february-6-2026,199240,Amazon (AMZN) closes above ___ on February 6?,2026-02-05T23:47:39.808261Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339427,0x75c65c01695e1cd5298820cd9b75ef9ff21c2af3c692daf4a4d507a9a2fc2d10,Will Amazon (AMZN) close above $235 on February 6?,235.0,27615735298478273030570531533365087654269526143755667824000235779074808818140,18183626625074725123769195786863116318127250181819745221939130445736949806413,True,ok,pPM_polymarket_snapshot_v1.0.1,0.3,0.99,0.155,0.845,0.29,0.29000000000000004,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,AMZN,amzn-close-above-on-february-6-2026,199240,Amazon (AMZN) closes above ___ on February 6?,2026-02-05T23:47:39.808261Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339428,0xec48e24c7566d8f6359a63a8d8429dda5310b7dc825787b0d157f64edb973dbd,Will Amazon (AMZN) close above $240 on February 6?,240.0,106243461432732174746060489016254887691128712219098346838052760012619549883434,91182783546674931508353968471776440756974233306500658772054530696201551187329,True,ok,pPM_polymarket_snapshot_v1.0.1,0.569,0.99,0.2895,0.7105,0.5589999999999999,0.5589999999999999,True,ok,0.8816881407407408
2026-02-05 23:50:22.144640+00:00,2026-02-06T00:50:22.144640+01:00,PRE,2026-02-02,2026-02-06,2026-02-08,AMZN,amzn-close-above-on-february-6-2026,199240,Amazon (AMZN) closes above ___ on February 6?,2026-02-05T23:47:39.808261Z,2026-02-06 21:00:00+00:00,2026-02-06 21:00:00+00:00,1339429,0xb61342b70760d9ea2de98d9a474e1471a1832c3dcadb28e0370bde6c7e8717dc,Will Amazon (AMZN) close above $245 on February 6?,245.0,90253580232504996492787648395753767062920095978055240815277562202548327050782,8550781582315021985566152804479451092647335241042287864143249639465217975078,True,ok,pPM_polymarket_snapshot_v1.0.1,0.059,0.999,0.03,0.97,0.057999999999999996,0.05800000000000005,True,ok,0.8816881407407408
