trial_id,trial_dir,C,features,decay,ticker_intercepts,calibration,objective_score,status
063__C=auto__feat=m:log_m_fwd+abs_log_m_fwd+x:x_abs_m__ti=all__tx=0__decay=0__cal=platt__foundation=off__a96a9c5d,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/063__C=auto__feat=m:log_m_fwd+abs_log_m_fwd+x:x_abs_m__ti=all__tx=0__decay=0__cal=platt__foundation=off__a96a9c5d,,"x_logit_prn,log_m_fwd,abs_log_m_fwd,x_abs_m",0,all,platt,0.49218273565107035,success
304__C=auto__feat=v:rv20_sqrtT__ti=all__tx=0__decay=0__cal=platt__foundation=on__fweight=1__e85ab302,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/304__C=auto__feat=v:rv20_sqrtT__ti=all__tx=0__decay=0__cal=platt__foundation=on__fweight=1__e85ab302,,"x_logit_prn,rv20_sqrtT",0,all,platt,0.49260515402609606,success
150__C=auto__feat=v:rv20+m:log_m_fwd+x:x_m__ti=non_foundation__tx=0__decay=0__cal=none__foundation=on__fweight=1__ed7d206c,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/150__C=auto__feat=v:rv20+m:log_m_fwd+x:x_m__ti=non_foundation__tx=0__decay=0__cal=none__foundation=on__fweight=1__ed7d206c,,"x_logit_prn,rv20,log_m_fwd,x_m",0,non_foundation,none,0.4888083515635238,success
122__C=auto__feat=v:rv20_sqrtT+m:log_m_fwd+abs_log_m_fwd+x:x_m__ti=all__tx=0__decay=0__cal=none__foundation=on__fweight=1__62f560ed,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/122__C=auto__feat=v:rv20_sqrtT+m:log_m_fwd+abs_log_m_fwd+x:x_m__ti=all__tx=0__decay=0__cal=none__foundation=on__fweight=1__62f560ed,,"x_logit_prn,rv20_sqrtT,log_m_fwd,abs_log_m_fwd,x_m",0,all,none,0.49300984578265067,success
016__C=auto__feat=v:rv20_sqrtT+m:abs_log_m_fwd+x:x_abs_m__ti=all__tx=0__decay=0__cal=platt__foundation=on__fweight=1__f24ed5f7,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/016__C=auto__feat=v:rv20_sqrtT+m:abs_log_m_fwd+x:x_abs_m__ti=all__tx=0__decay=0__cal=platt__foundation=on__fweight=1__f24ed5f7,,"x_logit_prn,rv20_sqrtT,abs_log_m_fwd,x_abs_m",0,all,platt,0.49124250939205744,success
276__C=auto__feat=v:rv20_sqrtT+m:log_m_fwd__ti=none__tx=0__decay=0__cal=platt__foundation=on__fweight=1__807a4464,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/276__C=auto__feat=v:rv20_sqrtT+m:log_m_fwd__ti=none__tx=0__decay=0__cal=platt__foundation=on__fweight=1__807a4464,,"x_logit_prn,rv20_sqrtT,log_m_fwd",0,none,platt,0.4913435322049468,success
254__C=auto__feat=v:rv20+m:log_m_fwd__ti=all__tx=0__decay=0__cal=none__foundation=on__fweight=1__19057be2,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/254__C=auto__feat=v:rv20+m:log_m_fwd__ti=all__tx=0__decay=0__cal=none__foundation=on__fweight=1__19057be2,,"x_logit_prn,rv20,log_m_fwd",0,all,none,0.4900603257035312,success
195__C=auto__feat=v:rv20_sqrtT+m:abs_log_m_fwd__ti=all__tx=0__decay=0__cal=platt__foundation=off__6ad43f23,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/195__C=auto__feat=v:rv20_sqrtT+m:abs_log_m_fwd__ti=all__tx=0__decay=0__cal=platt__foundation=off__6ad43f23,,"x_logit_prn,rv20_sqrtT,abs_log_m_fwd",0,all,platt,0.4912565358291534,success
293__C=auto__feat=v:rv20__ti=non_foundation__tx=0__decay=0__cal=none__foundation=off__73cbe9f3,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/293__C=auto__feat=v:rv20__ti=non_foundation__tx=0__decay=0__cal=none__foundation=off__73cbe9f3,,"x_logit_prn,rv20",0,non_foundation,none,0.48975625215642604,success
176__C=auto__feat=m:log_m_fwd+x:x_m__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=on__fweight=1__54fcb7b9,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/176__C=auto__feat=m:log_m_fwd+x:x_m__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=on__fweight=1__54fcb7b9,,"x_logit_prn,log_m_fwd,x_m",0,non_foundation,platt,0.49228998878349023,success
212__C=auto__feat=m:abs_log_m_fwd__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=on__fweight=1__2e5cd29d,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/212__C=auto__feat=m:abs_log_m_fwd__ti=non_foundation__tx=0__decay=0__cal=platt__foundation=on__fweight=1__2e5cd29d,,"x_logit_prn,abs_log_m_fwd",0,non_foundation,platt,0.49189121369601957,success
280__C=auto__feat=m:log_m_fwd__ti=all__tx=0__decay=0__cal=platt__foundation=on__fweight=1__dc4435bc,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/280__C=auto__feat=m:log_m_fwd__ti=all__tx=0__decay=0__cal=platt__foundation=on__fweight=1__dc4435bc,,"x_logit_prn,log_m_fwd",0,all,platt,0.49391720724999855,success
156__C=auto__feat=v:rv20+m:log_m_fwd+x:x_m__ti=none__tx=0__decay=0__cal=platt__foundation=on__fweight=1__b8d9ae6b,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/156__C=auto__feat=v:rv20+m:log_m_fwd+x:x_m__ti=none__tx=0__decay=0__cal=platt__foundation=on__fweight=1__b8d9ae6b,,"x_logit_prn,rv20,log_m_fwd,x_m",0,none,platt,0.48889363996446,success
110__C=auto__feat=v:rv20+m:log_m_fwd+abs_log_m_fwd+x:x_m__ti=all__tx=0__decay=0__cal=none__foundation=on__fweight=1__8234b147,/Users/dorianc./Desktop/polyedgetool/prediction-market-pricing-analysis/src/data/models/auto-run-20260223T114329Z/trials/110__C=auto__feat=v:rv20+m:log_m_fwd+abs_log_m_fwd+x:x_m__ti=all__tx=0__decay=0__cal=none__foundation=on__fweight=1__8234b147,,"x_logit_prn,rv20,log_m_fwd,abs_log_m_fwd,x_m",0,all,none,0.49061441473346246,success
